Experiment	bias spectroscopy	
Date	21.11.2022 12:31:28	
User		
X (m)	521.149E-9	
Y (m)	-513.365E-9	
Z (m)	-106.678E-9	
Z offset (m)	0E+0	
Settling time (s)	4E-3	
Integration time (s)	8E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	-106.684E-9	
Filter type	None	
Order		
Cutoff frq		
Comment01	SiC	

[DATA]
Bias calc (V)	Current (A)	LIX 1 omega (A)	LIY 1 omega (A)
-986.706E-3	-18.1662E-12	-16.4625E-12	1.44572E-12
-983.969E-3	-14.0339E-12	-16.3147E-12	1.81531E-12
-981.232E-3	-7.98607E-12	-16.5379E-12	1.09099E-12
-978.495E-3	-4.90112E-12	-16.4572E-12	1.15572E-12
-975.758E-3	-5.62820E-12	-16.6614E-12	793.182E-15
-973.020E-3	-9.08623E-12	-16.8507E-12	921.822E-15
-970.283E-3	-15.6872E-12	-16.7248E-12	740.745E-15
-967.546E-3	-17.3113E-12	-16.6318E-12	1.04704E-12
-964.809E-3	-15.2763E-12	-16.3201E-12	1.23683E-12
-962.072E-3	-8.00514E-12	-16.2606E-12	1.02429E-12
-959.335E-3	-5.56869E-12	-16.5567E-12	1.07510E-12
-956.598E-3	-5.05352E-12	-16.4576E-12	897.605E-15
-953.861E-3	-8.55579E-12	-16.9644E-12	900.943E-15
-951.124E-3	-13.7770E-12	-16.7293E-12	964.487E-15
-948.387E-3	-16.4291E-12	-16.6159E-12	1.26156E-12
-945.650E-3	-14.2807E-12	-16.4999E-12	1.25357E-12
-942.913E-3	-7.78599E-12	-16.4895E-12	1.26392E-12
-940.176E-3	-4.93755E-12	-16.4667E-12	1.03105E-12
-937.439E-3	-4.67625E-12	-16.5169E-12	649.005E-15
-934.702E-3	-8.32558E-12	-16.6472E-12	819.575E-15
-931.965E-3	-11.9665E-12	-16.7596E-12	743.104E-15
-929.228E-3	-16.5003E-12	-16.3548E-12	1.07035E-12
-926.491E-3	-13.2898E-12	-16.5993E-12	990.515E-15
-923.754E-3	-9.15337E-12	-16.3090E-12	1.14372E-12
-921.017E-3	-5.33485E-12	-16.4878E-12	847.945E-15
-918.280E-3	-5.16624E-12	-16.5447E-12	736.710E-15
-915.542E-3	-7.52964E-12	-16.5719E-12	875.665E-15
-912.805E-3	-10.4458E-12	-16.7454E-12	1.01445E-12
-910.068E-3	-13.1163E-12	-16.7627E-12	1.26531E-12
-907.331E-3	-11.3935E-12	-16.5085E-12	1.09329E-12
-904.594E-3	-9.44328E-12	-16.5117E-12	1.04696E-12
-901.857E-3	-5.83935E-12	-16.5326E-12	1.03213E-12
-899.120E-3	-6.20422E-12	-16.5168E-12	910.295E-15
